               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.043825,            0.019973,            0.011048,             0.58341,             0.48625,             0.49988,              0.1952,            0.059207,            0.010497,            0.010913,            0.008185,            0.008185,            0.008185
                  57,            0.042617,            0.020432,            0.017143,             0.44725,             0.39751,             0.37251,             0.12524,            0.055018,            0.010798,            0.012786,            0.008152,            0.008152,            0.008152
                  58,            0.041854,            0.019475,            0.012294,             0.49818,             0.55734,             0.48796,             0.21586,            0.056251,            0.011343,            0.011154,            0.008119,            0.008119,            0.008119
                  59,            0.042908,            0.020132,            0.012026,             0.72327,             0.39073,             0.50511,             0.23185,            0.049313,            0.010835,            0.012638,            0.008086,            0.008086,            0.008086
                  60,            0.042506,            0.019719,            0.011234,             0.67729,             0.47591,             0.56515,             0.21003,            0.064189,            0.010949,            0.015748,            0.008053,            0.008053,            0.008053
                  61,            0.044054,            0.019418,            0.013216,             0.65615,             0.44407,             0.48715,             0.22393,            0.054178,            0.011086,            0.012359,             0.00802,             0.00802,             0.00802
                  62,            0.040676,            0.019875,            0.012168,             0.51116,             0.32715,             0.33265,             0.12483,            0.055633,            0.011643,            0.017644,            0.007987,            0.007987,            0.007987
                  63,            0.043329,            0.021087,            0.011389,             0.45607,             0.24566,             0.28824,            0.094315,            0.053025,            0.011741,            0.021451,            0.007954,            0.007954,            0.007954
                  64,            0.044834,            0.020753,            0.011587,              0.5168,             0.18611,                0.15,            0.055654,            0.058249,            0.012575,            0.034712,            0.007921,            0.007921,            0.007921
                  65,            0.039892,            0.020077,            0.012675,             0.27391,             0.33918,             0.28156,             0.11724,            0.052741,             0.01273,             0.03268,            0.007888,            0.007888,            0.007888
                  66,            0.043368,            0.019041,           0.0092383,             0.49955,              0.3844,             0.36337,             0.11923,            0.054042,            0.012005,            0.023185,            0.007855,            0.007855,            0.007855
                  67,            0.040431,            0.019904,             0.01199,             0.47706,             0.33436,             0.30329,             0.12928,             0.06321,            0.011435,            0.033067,            0.007822,            0.007822,            0.007822
                  68,            0.040948,            0.019832,            0.012792,             0.80283,             0.47609,             0.55702,             0.22031,            0.049711,            0.011924,            0.012681,            0.007789,            0.007789,            0.007789
                  69,             0.04089,            0.019238,            0.011106,             0.50224,               0.499,             0.55145,             0.22026,            0.045746,            0.011544,            0.010283,            0.007756,            0.007756,            0.007756
                  70,            0.040256,            0.019037,            0.010452,             0.55197,             0.61019,             0.60276,             0.26464,            0.048652,            0.010609,           0.0096655,            0.007723,            0.007723,            0.007723
                  71,            0.042269,            0.018627,           0.0096178,             0.52375,             0.54815,             0.52909,             0.22179,            0.046339,            0.010405,            0.011481,             0.00769,             0.00769,             0.00769
                  72,            0.042162,            0.019096,            0.014069,             0.47263,             0.30295,             0.35617,             0.14139,            0.053069,            0.011923,            0.015043,            0.007657,            0.007657,            0.007657
                  73,            0.042434,             0.01934,            0.010713,             0.55718,             0.26526,             0.32077,             0.10419,            0.053641,            0.012086,            0.016481,            0.007624,            0.007624,            0.007624
                  74,            0.040392,            0.018991,            0.013109,             0.57937,             0.30926,             0.32322,             0.13446,             0.05234,            0.012167,            0.019188,            0.007591,            0.007591,            0.007591
                  75,            0.040538,            0.020433,            0.011335,             0.41628,             0.39676,             0.36934,             0.14609,            0.050263,            0.012034,            0.013282,            0.007558,            0.007558,            0.007558
                  76,            0.041604,            0.018842,            0.012309,             0.58115,              0.3895,             0.45088,             0.17555,            0.051488,            0.011651,            0.014631,            0.007525,            0.007525,            0.007525
                  77,            0.040634,            0.019196,            0.010428,             0.50158,             0.48892,             0.43583,             0.20189,            0.051192,            0.010675,            0.015232,            0.007492,            0.007492,            0.007492
                  78,            0.040067,            0.018838,           0.0094276,             0.57895,              0.4288,             0.42048,             0.16998,             0.05862,            0.011028,            0.018749,            0.007459,            0.007459,            0.007459
                  79,            0.037226,            0.017955,            0.011236,             0.47244,             0.51341,             0.48123,             0.18841,            0.053123,            0.011126,            0.017005,            0.007426,            0.007426,            0.007426
                  80,            0.041246,            0.016832,           0.0089452,             0.66011,             0.42184,             0.49568,               0.221,            0.056182,            0.011627,             0.01613,            0.007393,            0.007393,            0.007393
                  81,            0.038838,            0.020118,            0.011376,             0.52916,             0.41046,             0.41473,             0.16473,            0.057355,             0.01107,            0.015067,             0.00736,             0.00736,             0.00736
                  82,            0.038869,            0.017921,            0.010719,             0.56844,             0.44283,             0.48325,             0.22225,            0.055786,            0.010779,            0.013512,            0.007327,            0.007327,            0.007327
